Data,Ultimo,Abertura,Maxima,Minima,Volume,Variacao
Mai 22,111.351,107.876,112.69,102.386,276.34M,0.0322
Abr 22,107.876,120.001,121.628,107.876,213.67M,-0.10099999999999999
Mar 22,119.999,113.143,120.9,107.781,279.08M,0.060599999999999994
Fev 22,113.142,112.143,115.735,109.125,235.49M,0.0089
Jan 22,112.144,104.823,113.057,100.85,258.10M,0.0698
Dez 21,104.822,101.916,109.493,100.727,234.06M,0.0285
Nov 21,101.916,103.514,108.669,100.075,236.34M,-0.015300000000000001
Out 21,103.501,110.98,114.927,102.854,243.86M,-0.0674
Set 21,110.979,118.793,119.942,107.52,231.61M,-0.06570000000000001
Ago 21,118.781,121.803,124.536,114.801,201.79M,-0.0248
Jul 21,121.801,126.802,129.62,121.748,161.31M,-0.0394
Jun 21,126.802,126.218,131.19,126.184,197.83M,0.0046
Mai 21,126.216,118.951,126.216,117.631,184.24M,0.0616
Abr 21,118.894,116.645,121.974,114.991,167.26M,0.0194
Mar 21,116.634,110.036,117.249,107.319,246.48M,0.06
Fev 21,110.035,115.093,121.117,109.827,190.63M,-0.0437
Jan 21,115.068,119.024,125.324,114.887,186.73M,-0.0332
Dez 20,119.017,108.897,120.15,108.897,177.04M,0.09300000000000001
Nov 20,108.893,93.968,111.603,93.968,217.76M,0.159
Out 20,93.952,94.604,102.218,93.387,198.14M,-0.0069
Set 20,94.603,99.382,103.226,93.408,190.35M,-0.048
Ago 20,99.369,102.913,104.523,98.513,202.70M,-0.0344
Jul 20,102.912,95.062,105.704,95.062,221.52M,0.0827
Jun 20,95.056,87.395,97.694,86.837,232.33M,0.0876
Mai 20,87.403,80.501,88.091,75.697,220.36M,0.0857
Abr 20,80.506,73.011,83.598,67.803,209.52M,0.1025
Mar 20,73.02,104.26,108.804,61.691,270.52M,-0.299
Fev 20,104.172,113.761,117.701,99.951,126.65M,-0.0843
Jan 20,113.761,115.652,119.593,112.826,122.06M,-0.0163
Dez 19,115.645,108.233,117.803,108.191,99.88M,0.06849999999999999
Nov 19,108.233,107.221,109.672,105.261,95.99M,0.0095
Out 19,107.22,104.745,108.408,99.826,103.19M,0.0236
Set 19,104.745,101.133,106.001,99.406,97.54M,0.035699999999999996
Ago 19,101.135,101.819,104.848,95.855,119.85M,-0.0067
Jul 19,101.812,100.974,106.65,100.073,97.40M,0.0084
Jun 19,100.967,97.036,102.617,95.686,90.98M,0.0406
Mai 19,97.03,96.339,97.992,89.409,101.11M,0.006999999999999999
Abr 19,96.353,95.423,97.61,92.338,93.19M,0.0098
Mar 19,95.415,95.584,100.439,91.584,89.38M,-0.0018
Fev 19,95.584,97.396,98.589,93.424,97.94M,-0.018600000000000002
Jan 19,97.394,87.887,98.405,87.536,109.60M,0.1082
Dez 18,87.887,89.511,91.242,83.892,82.22M,-0.0181
Nov 18,89.504,87.428,90.246,84.03,90.78M,0.023799999999999998
Out 18,87.424,79.35,88.377,78.091,124.90M,0.10189999999999999
Set 18,79.342,76.676,80.107,74.275,67.45M,0.0348
Ago 18,76.678,79.213,81.792,74.876,83.19M,-0.0321
Jul 18,79.22,72.763,80.589,71.935,71.74M,0.0888
Jun 18,72.763,76.779,78.892,69.069,96.20M,-0.052000000000000005
Mai 18,76.754,86.111,86.678,75.337,99.40M,-0.10869999999999999
Abr 18,86.116,85.365,87.179,82.762,66.97M,0.0088
Mar 18,85.366,85.337,87.333,82.889,72.31M,0.0001
Fev 18,85.354,84.913,88.318,79.69,73.81M,0.0052
Jan 18,84.913,76.403,86.213,76.403,74.06M,0.1114
Dez 17,76.402,71.955,76.437,71.356,56.34M,0.0616
Nov 17,71.971,74.31,75.199,70.825,67.18M,-0.0315
Out 17,74.309,74.295,78.024,73.845,67.89M,0.0002
Set 17,74.294,70.848,76.42,70.846,71.06M,0.048799999999999996
Ago 17,70.835,65.925,71.506,65.925,70.28M,0.0746
Jul 17,65.92,62.901,66.048,62.035,55.45M,0.048
Jun 17,62.9,62.712,63.637,60.544,67.37M,0.003
Mai 17,62.712,65.404,68.792,60.315,89.45M,-0.0412
Abr 17,65.403,64.989,66.211,62.826,56.79M,0.0064
Mar 17,64.984,66.661,67.398,62.496,75.97M,-0.0252
Fev 17,66.662,64.687,69.488,63.74,58.53M,0.0308
Jan 17,64.671,60.227,66.594,59.371,61.92M,0.0738
Dez 16,60.227,61.906,61.936,56.829,65.99M,-0.0271
Nov 16,61.906,64.922,65.291,58.322,85.58M,-0.04650000000000001
Out 16,64.925,58.37,65.054,58.367,76.62M,0.11230000000000001
Set 16,58.367,57.902,60.311,56.459,70.19M,0.008
Ago 16,57.901,57.309,59.418,55.696,83.45M,0.0103
Jul 16,57.308,51.54,57.474,50.825,77.32M,0.11220000000000001
Jun 16,51.527,48.468,51.812,48.067,81.39M,0.063
Mai 16,48.472,53.91,54.113,48.292,81.20M,-0.1009
Abr 16,53.911,50.054,54.978,47.874,91.67M,0.077
Mar 16,50.055,42.795,52.262,42.795,125.12M,0.1697
Fev 16,42.794,40.397,43.601,38.596,71.70M,0.0591
Jan 16,40.406,43.349,43.349,37.046,72.21M,-0.0679
Dez 15,43.35,45.121,47.142,43.137,66.35M,-0.0392
Nov 15,45.12,45.869,49.054,45.106,68.60M,-0.0163
Out 15,45.869,45.064,49.752,44.789,80.10M,0.018000000000000002
Set 15,45.059,46.625,49.396,43.767,81.48M,-0.0336
Ago 15,46.626,50.867,50.867,42.749,73.39M,-0.0833
Jul 15,50.865,53.081,53.456,48.624,66.97M,-0.0417
Jun 15,53.081,52.753,54.361,52.548,63.04M,0.0060999999999999995
Mai 15,52.761,56.23,58.575,52.761,69.37M,-0.0617
Abr 15,56.229,51.186,56.965,51.186,81.12M,0.0993
Mar 15,51.15,51.58,52.319,47.905,79.89M,-0.0084
Fev 15,51.583,46.934,52.457,46.76,65.31M,0.09970000000000001
Jan 15,46.908,50.005,50.281,46.484,77.72M,-0.062
